31_10 : -66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-64;-66;-66;-66;-66;-66;-64;-66;-66;-66;-64;-64;-66;-66;-66;-64;-64;-64;-66;-66;-66;-64;-66;-64;-64;-64;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-64;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-64;-64;-66;-64;-66;-66;-66;-64;-64;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-66;-64;-64;-66;-66;-64;-64;-66;-66;-66;-66;-64;-66;-64;-66;-64;-66;-66;-66;-64;-64;-66;-64;-64;-64;-64;-64;-66;-64;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-64;-64;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-64;-64;-64;-64;-66;-66;-66;-66;-66;-66;-66;-64;-64;-64;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-64;-64;-66;-64;&&
31_20 : -66;-66;-64;-64;-66;-66;-64;-66;-64;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-64;-64;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-64;-66;-66;-64;-64;-66;-66;-66;-66;-66;-64;0;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;0;-64;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;0;-64;-66;-64;-66;-66;-66;-66;0;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-64;-66;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-66;0;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-64;-66;-64;-64;-66;-66;-64;-66;-66;-64;-66;0;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;0;-66;-64;-66;-66;-66;-66;-64;-64;-64;-66;0;-64;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;&&
20_10 : -68;-67;-68;-68;-67;-67;-67;-67;-68;-68;-68;-68;-67;-67;-68;-68;-67;-68;-67;-68;-68;-68;-67;-68;-67;-68;-68;-68;-67;-67;-68;-68;-67;-67;-68;-67;-67;-67;-67;-67;-68;-67;-68;-68;-68;-67;-67;-67;-68;-68;-68;-68;-68;-67;-68;-68;-68;-68;-68;-68;-67;-67;0;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-68;-67;-68;-68;-67;-67;-68;-68;-68;-68;-67;-68;-67;-67;-68;-67;-68;-67;-67;-68;-67;-67;-68;-68;-68;-67;-67;0;-67;-67;-68;-68;-68;-68;-68;-67;-68;-67;-67;-68;-68;-68;-67;-67;-67;-67;-67;-68;-67;-67;-67;-68;-68;-68;-67;-68;-68;-67;-68;-67;-68;-67;-67;-68;-67;-68;-68;-68;-68;-67;-68;-68;-67;-68;-67;-68;-67;-68;-67;-67;-67;-68;-68;-67;-67;-68;-67;-67;-68;-67;-68;-67;-68;-68;-68;-68;-67;-68;-67;-68;-67;-68;-67;-68;0;-67;-68;-67;-68;-67;-67;-68;-67;-67;-68;-68;-68;-68;-67;-67;-68;-67;-68;-67;-67;-67;-67;-68;-67;-67;-68;-68;-67;-68;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-68;-67;0;-68;-67;-67;-68;-67;-68;-67;-68;-67;-67;-68;-68;-67;-68;-67;-68;-68;-67;-68;-68;-67;-68;-68;&&
10_20 : -67;-67;-67;-67;-67;-67;-66;-67;-66;-67;-66;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-66;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-66;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-66;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;&&
31_10 : -66;-66;-64;-64;-66;-66;-64;-66;-66;-66;-64;-64;-64;-64;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-66;-66;-64;-66;-64;-64;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-64;-64;-66;-66;-64;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-64;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-64;-64;-66;-66;-64;-66;-64;-66;-64;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-64;-66;-66;-64;-66;-66;-64;-66;-64;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-64;-66;-66;-64;-64;-64;-66;-66;-66;-66;-64;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-64;-66;-66;-66;-64;-64;-64;-66;-66;-66;-66;-66;&&
31_20 : -66;-66;-66;-64;-66;-66;-64;-64;-64;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-64;-64;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-64;-64;-64;-66;-64;-64;-66;-64;-64;-66;-66;-66;-66;-66;-64;0;-66;-66;-66;-66;-64;-66;-64;-66;-64;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;0;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-64;-66;-64;-64;-64;-66;-64;-66;-66;-64;-66;0;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;0;-66;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-64;-66;-64;-64;-66;-66;-64;-64;-64;-66;&&
20_10 : -67;-67;-68;-67;-67;-67;-67;-68;-67;-67;-68;-68;-68;-68;-68;-68;-67;-68;-68;-68;-68;-68;-67;-67;-67;-67;-68;-67;-67;-67;-68;-68;-68;-68;-67;-67;-67;-67;-67;-68;-67;-67;-68;-68;-68;-67;-67;-67;-68;-68;-67;-68;-67;-68;-68;-68;-68;-68;-67;-67;-67;-67;0;-67;-67;-68;-67;-67;-68;-67;-68;-67;-67;-67;-67;-67;-68;-67;-67;-68;-68;-68;-68;-67;-67;-67;-67;-68;-67;-68;-67;-68;-68;-67;-67;-68;-67;-68;-67;-67;0;-67;-67;-68;-68;-68;-68;-68;-67;-68;-67;-67;-67;-67;-68;-67;-67;-67;-68;-67;-68;-67;-67;-68;-67;-68;-67;-67;-68;-68;-68;-68;-67;-68;-67;-67;-67;-67;-68;-67;-68;-67;-67;-67;-67;-67;-67;-68;-68;-68;-68;-67;-67;-67;-68;-67;-67;-67;-67;-67;-68;-67;-67;-68;-67;-67;-67;-67;-68;-67;-68;-67;-67;-67;-68;-67;-67;-67;-68;-68;-67;-67;-68;-67;-68;-67;-67;-67;-68;-67;-67;-68;-68;-67;-68;-68;-67;-67;-67;-68;-68;-67;-67;-68;-67;-67;-68;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-68;-67;-68;-67;-67;-68;-67;-67;-67;-68;-67;-68;-67;-68;-67;-68;-67;-67;-68;-68;-67;-67;-67;-68;-67;-67;-68;-68;-67;-67;-67;&&
10_20 : -67;-67;-67;-66;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-66;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-66;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;&&
31_10 : -64;-64;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-64;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-64;-64;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-64;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-66;-64;-64;-66;-66;-66;-64;-66;-66;-66;-66;-64;-64;-66;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-64;-66;-64;-66;-66;-64;-66;-64;-64;-64;-64;-66;-66;-66;-64;-66;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-64;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-64;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-64;-64;-66;-64;-66;-66;-66;-66;-64;-66;-64;-64;-64;-66;-66;-66;-66;-66;-64;-64;&&
31_20 : -64;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-66;-66;-64;-66;-64;-66;-66;-64;-66;-66;-66;-66;-66;-64;-66;-64;-64;-64;-66;-64;-66;-66;-64;-64;-66;-66;-64;-64;-66;-64;0;-66;-66;-66;-66;-64;-66;-64;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-66;-64;-66;-64;-64;-66;-66;-66;0;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-64;-66;-66;-64;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-64;-64;-64;-66;-66;-64;-64;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-64;-64;-66;-66;-64;-66;-64;-66;-66;-64;-66;-66;-66;-66;-66;-64;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-64;-64;-66;-64;-66;-66;-66;-66;-66;-66;-66;-64;-64;-64;-64;-64;-66;-66;-66;-64;-66;-66;-64;-66;-66;-64;-66;-64;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-64;-66;-64;-66;-66;-66;-66;-66;-66;-66;&&
